Tick,Switch,Signal
0,A,GREEN
0,B,GREEN
0,C,GREEN
0,D,RED
0,E,GREEN
0,F,GREEN
0,G,GREEN
0,H,GREEN
0,I,GREEN
0,J,GREEN
0,K,GREEN
0,L,GREEN
0,M,GREEN
0,N,GREEN
0,O,GREEN
0,P,GREEN
0,Q,GREEN
0,R,GREEN
0,S,YELLOW
0,T,GREEN
1,A,YELLOW
1,B,GREEN
1,C,GREEN
1,D,RED
1,E,GREEN
1,F,GREEN
1,G,GREEN
1,H,GREEN
1,I,GREEN
1,J,GREEN
1,K,GREEN
1,L,GREEN
1,M,GREEN
1,N,GREEN
1,O,GREEN
1,P,GREEN
1,Q,GREEN
1,R,GREEN
1,S,YELLOW
1,T,GREEN
2,A,YELLOW
2,B,GREEN
2,C,GREEN
2,D,RED
2,E,GREEN
2,F,GREEN
2,G,GREEN
2,H,GREEN
2,I,GREEN
2,J,GREEN
2,K,GREEN
2,L,GREEN
2,M,GREEN
2,N,GREEN
2,O,GREEN
2,P,GREEN
2,Q,GREEN
2,R,GREEN
2,S,YELLOW
2,T,GREEN
3,A,YELLOW
3,B,GREEN
3,C,GREEN
3,D,RED
3,E,GREEN
3,F,GREEN
3,G,GREEN
3,H,GREEN
3,I,GREEN
3,J,GREEN
3,K,GREEN
3,L,GREEN
3,M,GREEN
3,N,GREEN
3,O,GREEN
3,P,GREEN
3,Q,GREEN
3,R,GREEN
3,S,YELLOW
3,T,GREEN
4,A,YELLOW
4,B,GREEN
4,C,GREEN
4,D,RED
4,E,GREEN
4,F,GREEN
4,G,GREEN
4,H,GREEN
4,I,GREEN
4,J,GREEN
4,K,GREEN
4,L,GREEN
4,M,GREEN
4,N,GREEN
4,O,GREEN
4,P,GREEN
4,Q,GREEN
4,R,GREEN
4,S,YELLOW
4,T,GREEN
