Tick,TrainID,X,Y,Direction,State
0,0,3,2,1,MOVING
0,1,2,5,1,WAITING
0,2,2,8,1,WAITING
0,3,2,11,1,WAITING
0,4,2,14,1,WAITING
0,5,2,2,1,WAITING
0,6,2,5,1,WAITING
0,7,2,8,1,WAITING
0,8,2,11,1,WAITING
0,9,2,14,1,WAITING
1,0,4,2,1,MOVING
1,1,2,5,1,WAITING
1,2,2,8,1,WAITING
1,3,2,11,1,WAITING
1,4,2,14,1,WAITING
1,5,2,2,1,WAITING
1,6,2,5,1,WAITING
1,7,2,8,1,WAITING
1,8,2,11,1,WAITING
1,9,2,14,1,WAITING
2,0,5,2,1,MOVING
2,1,2,5,1,WAITING
2,2,2,8,1,WAITING
2,3,2,11,1,WAITING
2,4,2,14,1,WAITING
2,5,2,2,1,WAITING
2,6,2,5,1,WAITING
2,7,2,8,1,WAITING
2,8,2,11,1,WAITING
2,9,2,14,1,WAITING
3,0,6,2,1,MOVING
3,1,2,5,1,WAITING
3,2,2,8,1,WAITING
3,3,2,11,1,WAITING
3,4,2,14,1,WAITING
3,5,2,2,1,WAITING
3,6,2,5,1,WAITING
3,7,2,8,1,WAITING
3,8,2,11,1,WAITING
3,9,2,14,1,WAITING
4,0,7,2,1,MOVING
4,1,3,5,1,MOVING
4,2,2,8,1,WAITING
4,3,2,11,1,WAITING
4,4,2,14,1,WAITING
4,5,2,2,1,WAITING
4,6,2,5,1,WAITING
4,7,2,8,1,WAITING
4,8,2,11,1,WAITING
4,9,2,14,1,WAITING
